34	67	5
34	68	5
34	222	5
34	698	5
34	761	5
34	904	5
34	993	5
34	1164	5
34	1177	5
34	1237	5
34	1849	5
34	1869	5
34	1996	5
34	2001	5
34	2017	5
34	2018	5
34	2020	5
34	2021	5
34	2147	5
34	2157	5
34	2434	5
34	2539	5
34	2545	5
34	2855	5
34	2945	5
34	2961	5
34	3093	5
34	3106	5
34	3188	5
34	3189	5
34	3198	5
34	3437	5
34	3676	5
34	3677	5
34	3678	5
34	3679	5
34	3762	5
34	4044	5
34	4217	5
34	4301	5
34	4418	5
34	4707	5
34	5087	5
34	5137	5
34	5609	5
34	5754	5
34	6016	5
34	6173	5
34	6637	5
34	6737	4
34	6814	5
34	6912	5
34	6957	5
34	7071	5
34	7083	5
34	7304	5
34	7449	5
34	7498	5
34	7535	5
34	7536	5
34	7658	5
34	7814	5
34	7916	5
34	8209	5
34	8303	5
34	8339	5
34	8959	5
34	9413	5
34	9474	5
34	9485	5
34	9679	5
34	9781	5
34	9803	5
34	9926	5
34	9932	5
34	10198	5
34	10201	5
34	10484	5
34	10520	5
34	10542	5
67	68	5
67	222	5
67	698	5
67	761	5
67	904	5
67	993	5
67	1164	5
67	1177	5
67	1237	5
67	1849	5
67	1869	5
67	1996	5
67	2001	5
67	2017	5
67	2018	5
67	2020	5
67	2021	5
67	2147	5
67	2157	5
67	2434	5
67	2539	5
67	2545	5
67	2855	5
67	2945	5
67	2961	5
67	3093	5
67	3106	5
67	3188	5
67	3189	5
67	3198	5
67	3437	5
67	3676	5
67	3677	5
67	3678	5
67	3679	5
67	3762	5
67	4044	5
67	4217	5
67	4301	5
67	4418	5
67	4707	5
67	5087	5
67	5137	5
67	5609	5
67	5754	5
67	6016	5
67	6173	5
67	6637	5
67	6737	4
67	6814	5
67	6912	5
67	6957	5
67	7071	5
67	7083	5
67	7304	5
67	7449	5
67	7498	5
67	7535	5
67	7536	5
67	7658	5
67	7814	5
67	7916	5
67	8209	5
67	8303	5
67	8339	5
67	8959	5
67	9413	5
67	9474	5
67	9485	5
67	9679	5
67	9781	5
67	9803	5
67	9926	5
67	9932	5
67	10198	5
67	10201	5
67	10484	5
67	10520	5
67	10542	5
68	222	5
68	698	5
68	761	5
68	904	5
68	993	5
68	1164	5
68	1177	5
68	1237	5
68	1849	5
68	1869	5
68	1996	5
68	2001	5
68	2017	5
68	2018	5
68	2020	5
68	2021	5
68	2147	5
68	2157	5
68	2434	5
68	2539	5
68	2545	5
68	2855	5
68	2945	5
68	2961	5
68	3093	5
68	3106	5
68	3188	5
68	3189	5
68	3198	5
68	3437	5
68	3676	5
68	3677	5
68	3678	5
68	3679	5
68	3762	5
68	4044	5
68	4217	5
68	4301	5
68	4418	5
68	4707	5
68	5087	5
68	5137	5
68	5609	5
68	5754	5
68	6016	5
68	6173	5
68	6637	5
68	6737	4
68	6814	5
68	6912	5
68	6957	5
68	7071	5
68	7083	5
68	7304	5
68	7449	5
68	7498	5
68	7535	5
68	7536	5
68	7658	5
68	7814	5
68	7916	5
68	8209	5
68	8303	5
68	8339	5
68	8959	5
68	9413	5
68	9474	5
68	9485	5
68	9679	5
68	9781	5
68	9803	5
68	9926	5
68	9932	5
68	10198	5
68	10201	5
68	10484	5
68	10520	5
68	10542	5
169	2774	1
169	3668	1
169	4361	1
169	4389	1
169	4468	1
169	4665	2
169	5502	1
169	6931	1
169	7863	1
169	7997	1
169	8807	1
169	9246	1
170	2342	1
170	2774	1
170	3214	1
170	4321	1
170	4341	1
170	4361	1
170	4648	2
170	8801	1
215	260	3
215	479	3
215	3959	3
215	4341	1
215	4342	1
215	4356	3
215	4388	1
215	5625	2
215	7132	3
215	7799	3
215	8548	2
222	698	5
222	761	5
222	904	5
222	993	5
222	1164	5
222	1177	5
222	1237	5
222	1849	5
222	1869	5
222	1996	5
222	2001	5
222	2017	5
222	2018	5
222	2020	5
222	2021	5
222	2147	5
222	2157	5
222	2434	5
222	2539	5
222	2545	5
222	2855	5
222	2945	5
222	2961	5
222	3093	5
222	3106	5
222	3188	5
222	3189	5
222	3198	5
222	3437	5
222	3676	5
222	3677	5
222	3678	5
222	3679	5
222	3762	5
222	4044	5
222	4217	5
222	4301	5
222	4418	5
222	4707	5
222	5087	5
222	5137	5
222	5609	5
222	5754	5
222	6016	5
222	6173	5
222	6637	5
222	6737	4
222	6814	5
222	6912	5
222	6957	5
222	7071	5
222	7083	5
222	7304	5
222	7449	5
222	7498	5
222	7535	5
222	7536	5
222	7658	5
222	7814	5
222	7916	5
222	8209	5
222	8303	5
222	8339	5
222	8959	5
222	9413	5
222	9474	5
222	9485	5
222	9679	5
222	9781	5
222	9803	5
222	9926	5
222	9932	5
222	10198	5
222	10201	5
222	10484	5
222	10520	5
222	10542	5
260	479	3
260	3959	3
260	4341	1
260	4342	1
260	4356	3
260	4388	1
260	5625	2
260	7132	3
260	7799	3
260	8548	2
479	3959	3
479	4341	1
479	4342	1
479	4356	3
479	4388	1
479	5625	2
479	7132	3
479	7799	3
479	8548	2
698	761	5
698	904	5
698	993	5
698	1164	5
698	1177	5
698	1237	5
698	1849	5
698	1869	5
698	1996	5
698	2001	5
698	2017	5
698	2018	5
698	2020	5
698	2021	5
698	2147	5
698	2157	5
698	2434	5
698	2539	5
698	2545	5
698	2855	5
698	2945	5
698	2961	5
698	3093	5
698	3106	5
698	3188	5
698	3189	5
698	3198	5
698	3437	5
698	3676	5
698	3677	5
698	3678	5
698	3679	5
698	3762	5
